"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.081546300E-2,-1.833500385E0,2.401197433E0,9.062815666E0
1.637046300E-2,-1.705484390E0,2.421536446E0,8.923434258E0
2.192546300E-2,-1.582253933E0,2.476571321E0,8.846863747E0
2.748046300E-2,-1.449452281E0,2.547757864E0,8.869595528E0
3.303546300E-2,-1.298106313E0,2.645265341E0,8.993423462E0
3.859046300E-2,-1.128215909E0,2.743969440E0,9.265607834E0
4.414546300E-2,-9.355936646E-1,2.810370207E0,9.650253296E0
4.970046300E-2,-7.944171429E-1,2.846262455E0,1.006540871E1
5.525546300E-2,-7.657032609E-1,2.829512835E0,1.037767220E1
6.081046300E-2,-8.201399446E-1,2.766103029E0,1.045723343E1
6.636546300E-2,-9.786644578E-1,2.678166628E0,1.036092186E1
7.192046300E-2,-1.255035520E0,2.577668190E0,1.017846966E1
7.747546300E-2,-1.565504193E0,2.471785784E0,9.979267120E0
8.303046300E-2,-1.788036704E0,2.372483730E0,9.777671814E0
8.858546300E-2,-1.844268084E0,2.271985054E0,9.540781975E0
9.414046300E-2,-1.841875196E0,2.208575249E0,9.274580956E0
9.969546300E-2,-1.830509305E0,2.160120726E0,8.995218277E0
1.052504630E-1,-1.853241086E0,2.140379906E0,8.770891190E0
1.108054630E-1,-1.858624935E0,2.148754835E0,8.649456024E0
1.163604630E-1,-1.856830359E0,2.133201361E0,8.672785759E0
1.219154630E-1,-1.899302959E0,2.128415823E0,8.813961983E0
1.274704630E-1,-1.991426587E0,2.135594130E0,9.050253868E0
1.330254630E-1,-2.024926186E0,2.135594130E0,9.330213547E0
1.385804630E-1,-1.953739643E0,2.131406784E0,9.543174744E0
1.441354630E-1,-1.801795483E0,2.150549412E0,9.586843491E0
1.496904630E-1,-1.722832322E0,2.155933142E0,9.514460564E0
1.552454630E-1,-1.680957913E0,2.175673962E0,9.412167549E0
1.608004630E-1,-1.704886079E0,2.189432621E0,9.312865257E0
1.663554630E-1,-1.773081541E0,2.204986095E0,9.232108116E0
1.719104630E-1,-1.855633974E0,2.187638044E0,9.229117393E0
1.774654630E-1,-1.902892232E0,2.169692039E0,9.288339615E0
1.830204630E-1,-1.916052699E0,2.116451740E0,9.352347374E0
1.885754630E-1,-1.881955028E0,2.071586132E0,9.383454323E0
1.941304630E-1,-1.826920033E0,2.056631088E0,9.373882294E0
1.996854630E-1,-1.792822361E0,2.045265198E0,9.337990761E0
2.052404630E-1,-1.810170293E0,2.070987940E0,9.270393372E0
2.107954630E-1,-1.847259045E0,2.125424623E0,9.206983566E0
2.163504630E-1,-1.884945989E0,2.177468538E0,9.163313866E0
2.219054630E-1,-1.863410592E0,2.213959217E0,9.164510727E0
2.274604630E-1,-1.773679733E0,2.234896421E0,9.147761345E0
2.330154630E-1,-1.648654819E0,2.241476536E0,9.141180992E0
2.385704630E-1,-1.576271892E0,2.252244234E0,9.128618240E0
2.441254630E-1,-1.579861164E0,2.266601324E0,9.118449211E0
2.496804630E-1,-1.633699656E0,2.270788670E0,9.131011009E0
2.552354630E-1,-1.697707653E0,2.278565407E0,9.174081802E0
2.607904630E-1,-1.738385677E0,2.273779631E0,9.208179474E0
2.663454630E-1,-1.713859200E0,2.267199516E0,9.205188751E0
2.719004630E-1,-1.658226132E0,2.261815548E0,9.171689034E0
2.774554630E-1,-1.601396561E0,2.282154560E0,9.103493690E0
2.830104630E-1,-1.553540111E0,2.343171597E0,9.029315948E0
2.885654630E-1,-1.464407444E0,2.416750908E0,8.946763992E0
2.941204630E-1,-1.380060434E0,2.506481647E0,8.849256516E0
2.996754630E-1,-1.345364571E0,2.570489645E0,8.749954224E0
3.052304630E-1,-1.311266780E0,2.611167669E0,8.693722725E0
3.107854630E-1,-1.215553880E0,2.647060156E0,8.681160927E0
3.163404630E-1,-1.046261668E0,2.699702263E0,8.706883430E0
3.218954630E-1,-8.045865893E-1,2.734996319E0,8.744570732E0
3.274504630E-1,-5.120640397E-1,2.758924484E0,8.758927345E0
3.330054630E-1,-2.303091735E-1,2.760120869E0,8.754141808E0
3.385604630E-1,-4.187439568E-3,2.772084951E0,8.718847275E0
3.441154630E-1,1.543370634E-1,2.775076151E0,8.698508263E0
3.496704630E-1,2.506481707E-1,2.768495798E0,8.719446182E0
3.552254630E-1,3.326023519E-1,2.710469961E0,8.816953659E0
3.607804630E-1,2.799602449E-1,2.569293261E0,9.110671997E0
3.663354630E-1,1.393819153E-1,2.498106956E0,9.149555206E0
3.718904630E-1,2.476571500E-1,2.284547329E0,8.621937752E0
3.774454630E-1,5.054838061E-1,2.050648928E0,8.093124390E0
3.830004630E-1,5.216353536E-1,1.987239242E0,8.569893837E0
3.885554630E-1,-5.024927482E-2,1.783251047E0,9.577870369E0
3.941104630E-1,-7.172485590E-1,1.375872970E0,9.783653259E0
3.996654630E-1,-1.368096352E0,9.649057388E-1,9.839884758E0
4.052204630E-1,-2.050648928E0,6.436693072E-1,1.003848934E1
4.107754630E-1,-2.654238462E0,4.372883439E-1,1.011984539E1
4.163304630E-1,-3.217748165E0,3.200400174E-1,1.027178955E1
4.218854630E-1,-3.655634880E0,1.441675574E-1,1.036331463E1
4.274404630E-1,-3.909872293E0,-4.785645381E-2,1.030229759E1
4.329954630E-1,-4.127619267E0,-2.057827413E-1,1.023828983E1
4.385504630E-1,-4.296911240E0,-3.254238665E-1,1.044467068E1
4.441054630E-1,-4.292723656E0,-4.360919297E-1,1.098903847E1
4.496604630E-1,-4.063013077E0,-6.029912829E-1,1.158903790E1
4.552154630E-1,-3.745365620E0,-8.123632669E-1,1.190668583E1
4.607704630E-1,-3.453441381E0,-1.028913736E0,1.186780167E1
4.663254630E-1,-3.267997503E0,-1.210170031E0,1.154178047E1
4.718804630E-1,-3.209971666E0,-1.343569875E0,1.102313614E1
4.774354630E-1,-3.208775282E0,-1.397408366E0,1.045783138E1
4.829904630E-1,-3.253042459E0,-1.372283816E0,9.974481583E0
4.885454630E-1,-3.357130051E0,-1.303490162E0,9.632308006E0
4.941004630E-1,-3.555136204E0,-1.190429211E0,9.429515839E0
4.996554630E-1,-3.802195072E0,-1.086341500E0,9.288339615E0
5.052104630E-1,-4.024129391E0,-1.014556766E0,9.031708717E0
5.107654630E-1,-4.146163464E0,-9.613165259E-1,8.687741280E0
5.163204630E-1,-4.120440483E0,-9.218349457E-1,8.326424599E0
5.218754630E-1,-3.937389612E0,-8.554341197E-1,8.042277336E0
5.274304630E-1,-3.622733593E0,-7.459624410E-1,7.999804497E0
5.329854630E-1,-3.238087177E0,-5.892325640E-1,8.178668022E0
5.385404630E-1,-2.803789854E0,-4.205385745E-1,8.479565620E0
5.440954630E-1,-2.378465652E0,-2.500499785E-1,8.653642654E0
5.496504630E-1,-1.984248161E0,-8.195417374E-2,8.659027100E0
5.552054630E-1,-1.724028707E0,6.161518395E-2,8.525029182E0
5.607604630E-1,-1.619342685E0,1.381855011E-1,8.303692818E0
5.663154630E-1,-1.571486235E0,1.962114573E-1,8.097909927E0
5.718704630E-1,-1.488933921E0,2.386840582E-1,8.069794655E0
5.774254630E-1,-1.411765337E0,3.332005441E-1,8.182256699E0
5.829804630E-1,-1.368694544E0,4.803591371E-1,8.398209572E0
5.885354630E-1,-1.472184181E0,5.742774606E-1,8.684151649E0
5.940904630E-1,-1.623530149E0,6.107679605E-1,8.968897820E0
5.996454630E-1,-1.730608940E0,5.521438122E-1,9.168698311E0
6.052004630E-1,-1.685743570E0,4.277170599E-1,9.332008362E0
6.107554630E-1,-1.021735311E0,1.357926875E-1,9.155537605E0
6.163104630E-1,-8.536394835E-1,-1.118644550E-1,9.021539688E0
6.218654630E-1,-1.119840980E0,-2.392822653E-1,9.184251785E0
6.274204630E-1,-1.383051515E0,-2.614158690E-1,9.412167549E0
6.329754630E-1,-1.691725612E0,7.178468257E-2,9.375677109E0
6.385304630E-1,-2.297109842E0,9.068797827E-1,9.229715347E0
6.440854630E-1,-2.347358942E0,1.173081279E0,9.223732948E0
6.496404630E-1,-1.986641049E0,8.231309652E-1,9.312865257E0
6.551954630E-1,-1.557129383E0,1.872383654E-1,9.632905960E0
6.607504630E-1,-1.101296663E0,-6.454638839E-1,1.047757244E1
6.663054630E-1,-9.326026440E-1,-1.505085468E0,1.154776192E1
6.718604630E-1,-1.109671474E0,-2.298306227E0,1.235175037E1
6.774154630E-1,-1.454836130E0,-2.855833769E0,1.250548935E1
6.829704630E-1,-1.824527264E0,-3.244069338E0,1.216451168E1
6.885254630E-1,-1.883749604E0,-3.541377544E0,1.187019539E1
6.940804630E-1,-1.475773335E0,-3.689134359E0,1.188694477E1
6.996354630E-1,-1.317248821E0,-3.417548895E0,1.129292679E1
7.051904630E-1,-1.194018483E0,-3.187838078E0,1.027777100E1
7.107454630E-1,-7.184450030E-1,-3.212962627E0,9.662218094E0
7.163004630E-1,-4.187439755E-2,-3.396611691E0,9.241081238E0
7.218554630E-1,6.891329288E-1,-3.571886063E0,8.908478737E0
7.274104630E-1,1.302891970E0,-3.626920938E0,8.884550095E0
7.329654630E-1,1.506880045E0,-3.370888948E0,9.238688469E0
7.385204630E-1,1.080359459E0,-2.842075109E0,9.634101868E0
7.440754630E-1,2.703889608E-1,-2.164308071E0,9.966106415E0
7.496304630E-1,-2.859423161E-1,-1.488933921E0,1.009292603E1
7.551854630E-1,-3.906283081E-1,-9.517452121E-1,9.735198975E0
7.607404630E-1,-1.537388563E-1,-5.682953596E-1,9.104690552E0
7.662954630E-1,3.427718580E-1,-3.391826153E-1,8.397012711E0
7.718504630E-1,9.571290612E-1,-1.896311939E-1,7.631907940E0
7.774054630E-1,1.427916884E0,-1.812563092E-1,6.905686378E0
7.829604630E-1,1.704886079E0,-2.446661144E-1,6.284748554E0
7.885154630E-1,1.989033818E0,-2.488535494E-1,5.715855122E0
7.940704630E-1,2.050648928E0,-2.117647976E-1,5.645864964E0
7.996254630E-1,1.800599098E0,-1.645065546E-1,5.912066460E0
8.051804630E-1,1.605584025E0,-2.333002090E-1,6.398407936E0
8.107354630E-1,1.677368641E0,-3.577269912E-1,6.870391846E0
8.162904630E-1,1.904088616E0,-4.528416991E-1,7.206583500E0
8.218454630E-1,2.094317913E0,-5.222335458E-1,7.425527096E0
8.274004630E-1,2.158924341E0,-6.161518097E-1,7.713861942E0
8.329554630E-1,2.217548370E0,-4.917250574E-1,7.943572998E0
8.385104630E-1,2.268994093E0,-3.870390654E-1,8.204988480E0
8.440654630E-1,2.213959217E0,-4.085744619E-1,8.691927910E0
8.496204630E-1,2.254039049E0,-5.676971674E-1,8.676973343E0
8.551754630E-1,2.434098721E0,-8.380861282E-1,8.716454506E0
8.607304630E-1,2.532204628E0,-1.051645517E0,8.980861664E0
8.662854630E-1,2.562713146E0,-1.259821177E0,9.233304024E0
8.718404630E-1,2.572284460E0,-1.141974568E0,9.795618057E0
