Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
8.404421137,1.049252748,-9.509077072,-1.330409408
8.409976137,1.022931695,-9.443274498,-1.300499082
8.415531137,0.9936196208,-9.388239861,-1.261017561
8.421086137,0.9248259664,-9.345767021,-1.238883972
8.426641137,0.8506484628,-9.337391853,-1.237089276
8.432196137,0.8009973764,-9.357132912,-1.236491084
8.437751137,0.718445003,-9.420542717,-1.286740422
8.443306137,0.6442674994,-9.494720459,-1.373480201
8.448861137,0.5874379873,-9.576076508,-1.46321106
8.454416137,0.5407779217,-9.667601585,-1.540977836
8.459971137,0.4648058116,-9.745368004,-1.599003673
8.465526137,0.4791627228,-9.801599503,-1.643270969
8.471081137,0.4881358147,-9.835697174,-1.671984792
8.476636137,0.4959124923,-9.848259926,-1.678565025
8.482191137,0.4803591371,-9.83150959,-1.66600275
8.487746137,0.4618147612,-9.813564301,-1.659422517
8.493301137,0.4881358147,-9.781859398,-1.660020709
8.498856137,0.4803591371,-9.747760773,-1.672582984
8.504411137,0.4594219327,-9.728618622,-1.690529227
8.509966137,0.4253242314,-9.708877563,-1.71924305
8.515521137,0.3780659735,-9.699306488,-1.740180254
8.521076137,0.3457628787,-9.668798447,-1.746760488
8.526631137,0.35174492,-9.62154007,-1.737189293
8.532186137,0.3978067636,-9.591629982,-1.701296926
8.537741137,0.4576273263,-9.55753231,-1.666600943
8.543296137,0.4965106845,-9.534201622,-1.648056626
8.548851137,0.5294120312,-9.525827408,-1.659422517
8.554406137,0.590429008,-9.521040916,-1.688734531
8.559961137,0.6592226624,-9.569496155,-1.741376638
8.565516137,0.7621139884,-9.607182503,-1.797608018
8.571071137,0.8584251404,-9.647860527,-1.847259045
8.576626137,0.9409775138,-9.693922997,-1.871187329
8.582181137,1.01874423,-9.675976753,-1.892722726
8.587736137,1.067797065,-9.614361763,-1.908276081
8.593291137,1.118046403,-9.555737495,-1.919641972
8.598846137,1.158724308,-9.496515274,-1.903490424
8.604401137,1.189831018,-9.435498238,-1.871785522
8.609956137,1.212562919,-9.396614075,-1.823929071
8.615511137,1.232303619,-9.343374252,-1.774278045
8.621066137,1.245464206,-9.317052841,-1.713261008
8.626621137,1.272981644,-9.311071396,-1.667797327
8.632176137,1.308874011,-9.339784622,-1.636092424
8.637731137,1.347159147,-9.381061554,-1.599601984
8.643286137,1.37587297,-9.429515839,-1.596012712
8.648841137,1.398006678,-9.464810371,-1.586441398
8.654396137,1.413560033,-9.49232769,-1.575673699
8.659951137,1.418943882,-9.523433685,-1.564906001
8.665506137,1.454237938,-9.522237778,-1.580459356
8.671061137,1.482353687,-9.532406807,-1.557129383
8.676616137,1.481755376,-9.553344727,-1.532602906
8.682171137,1.523629785,-9.543174744,-1.518844128
8.687726137,1.562513232,-9.532406807,-1.524227977
8.693281137,1.581057549,-9.546165466,-1.528415442
8.698836137,1.616351724,-9.559925079,-1.572084427
8.704391137,1.591825247,-9.617950439,-1.600798368
8.709946137,1.628315806,-9.637093544,-1.607976794
8.715501137,1.696511269,-9.641879082,-1.619342685
8.721056137,1.762912035,-9.668798447,-1.604387641
8.726611137,1.811366796,-9.674181938,-1.608574986
8.732166137,1.852044702,-9.675976753,-1.616949916
8.737721137,1.891526341,-9.681958199,-1.595414519
8.743276137,1.936391711,-9.656833649,-1.549950838
8.748831137,1.978864312,-9.618548393,-1.476969719
8.754386137,1.996810555,-9.581459999,-1.389631748
8.759941137,1.992024899,-9.566504478,-1.286740422
8.765496137,1.97527504,-9.53898716,-1.147358418
8.771051137,1.925624013,-9.515657425,-0.9858429432
8.776606137,1.860419631,-9.504291534,-0.8195417523
8.782161137,1.828116536,-9.494720459,-0.665802896
8.787716137,1.799402595,-9.486943245,-0.5216353536
8.793271137,1.789831281,-9.485747337,-0.3726821244
8.798826137,1.78684032,-9.519845009,-0.27577281
8.804381137,1.769492388,-9.573683739,-0.204586342
8.809936137,1.759921074,-9.650852203,-0.1848455518
8.815491137,1.726421595,-9.72323513,-0.2123630047
8.821046137,1.695314884,-9.775876999,-0.3152543902
8.826601137,1.682154298,-9.801001549,-0.4307080805
8.832156137,1.688136339,-9.814162254,-0.5551348329
8.837711137,1.70249331,-9.801599503,-0.6831508875
8.843266137,1.684547186,-9.776474953,-0.8213363886
8.848821137,1.661815286,-9.736394882,-0.9900303483
8.854376137,1.631306887,-9.685547829,-1.15393877
8.859931137,1.629512191,-9.629914284,-1.32801652
8.865486137,1.607976794,-9.586245537,-1.476969719
8.871041137,1.589432478,-9.562317848,-1.588235974
8.876596137,1.568495274,-9.531210899,-1.670190215
8.882151137,1.529013634,-9.531210899,-1.737189293
8.887706137,1.493719578,-9.53898716,-1.761715651
8.893261137,1.470987678,-9.564710617,-1.787438512
8.898816137,1.424327731,-9.597013474,-1.822134495
8.904371137,1.366301775,-9.593423843,-1.869392633
8.909926137,1.304088354,-9.585049629,-1.926820397
8.915481137,1.239482164,-9.569496155,-1.977667928
8.921036137,1.19581306,-9.579665184,-2.01475668
8.926591137,1.15393877,-9.574281693,-2.015953064
8.932146137,1.133599758,-9.591629982,-2.015354872
8.937701137,1.097707391,-9.585049629,-1.957328916
8.943256137,1.037288666,-9.587442398,-1.899302959
8.948811137,0.9672985673,-9.567103386,-1.844866276
8.954366137,0.8476574421,-9.533603668,-1.800000787
8.959921137,0.7639086246,-9.512666702,-1.734796405
8.965476137,0.7178468108,-9.471988678,-1.665404558
8.971031137,0.732203722,-9.440881729,-1.586441398
8.976586137,0.7974081635,-9.401400566,-1.501496196
8.982141137,0.8638089895,-9.352347374,-1.413560033
8.987696137,0.8931210637,-9.334401131,-1.343569875
8.993251137,0.9062815905,-9.296115875,-1.289133191
8.998806137,0.9164510965,-9.322437286,-1.230509043
9.004361137,0.9200403094,-9.337990761,-1.198205948
9.009916137,0.9433703423,-9.362516403,-1.185643673
9.015471137,1.062413216,-9.39840889,-1.168893814
9.021026137,1.217348576,-9.410373688,-1.157527924
9.026581137,1.39860487,-9.433703423,-1.127019525
9.032136137,1.585843205,-9.411569595,-1.124028444
9.037691137,1.744965911,-9.351150513,-1.127617717
9.043246137,1.883749604,-9.313464165,-1.134796143
9.048801137,2.020140409,-9.281759262,-1.163509965
9.054356137,2.130808592,-9.259625435,-1.20717907
9.059911137,2.227119684,-9.293125153,-1.267597795
9.065466137,2.27078867,-9.325428009,-1.372882009
9.071021137,2.226521492,-9.343972206,-1.495514154
9.076576137,2.103291035,-9.385847092,-1.629512191
9.082131137,1.957328916,-9.421739578,-1.7670995
9.087686137,1.798804402,-9.486345291,-1.8855443
9.093241137,1.625923038,-9.533603668,-2.023131609
9.098796137,1.430309772,-9.617352486,-2.155334949
9.104351137,1.203589797,-9.729216576,-2.285743713
9.109906137,0.9649057388,-9.864411354,-2.431705952
9.115461137,0.7513462901,-10.0331049,-2.557329178
9.121016137,0.5527420044,-10.21376324,-2.713460922
9.126571137,0.4277170599,-10.43270683,-2.87318182
9.132126137,0.2608176768,-10.61874866,-3.057429075
9.137681137,0.04905286431,-10.76650524,-3.21954298
9.143236137,-0.1447657645,-10.77069283,-3.394817114
9.148791137,-0.4689932466,-10.70489025,-3.574278831
9.154346137,-0.7788637877,-10.53200912,-3.547359467
9.159901137,-1.505085468,-10.27657509,-3.59043026
9.165456137,-1.613360643,-10.35194874,-3.819543123
9.171011137,-1.465005636,-10.32024384,-3.823730469
9.176566137,-1.469791293,-10.23709393,-3.806382656
9.182121137,-1.490728498,-10.07019424,-3.749552965
9.187676137,-1.60977149,-9.87398243,-3.697509289
9.193231137,-1.815554142,-9.682557106,-3.653840065
9.198786137,-2.093121529,-9.535996437,-3.628715515
9.204341137,-2.119442701,-9.464810371,-3.544966698
9.209896137,-2.036292076,-9.400203705,-3.414557934
9.215451137,-2.087139606,-9.355338097,-3.300300598
9.221006137,-2.260619164,-9.303893089,-3.235096216
9.226561137,-2.446063042,-9.28295517,-3.170490026
9.232116137,-2.506481647,-9.262616158,-3.119642496
9.237671137,-2.438286304,-9.270991325,-3.014956474
9.243226137,-2.2259233,-9.285946846,-2.894119024
9.248781137,-1.92203474,-9.272188187,-2.737389088
9.254336137,-1.660618901,-9.205786705,-2.569293261
9.259891137,-1.408774376,-9.180064201,-2.39222455
9.265446137,-1.153340459,-9.151947975,-2.21156621
9.271001137,-0.9014959335,-9.132805824,-1.999203324
9.276556137,-0.641874671,-9.152546883,-1.758724689
9.282111137,-0.3972085714,-9.19621563,-1.493121386
9.287666137,-0.1956132501,-9.250652313,-1.165304661
9.293221137,0.02691925503,-9.328418732,-0.8075776696
9.298776137,0.2650051117,-9.371489525,-0.4115654826
9.304331137,0.4073780477,-9.445069313,-0.07896314561
9.309886137,0.4217349887,-9.546764374,0.2344966233
9.315441137,0.3834498227,-9.661619186,0.5288137794
9.320996137,0.3002992272,-9.827920914,0.7680960894
9.326551137,0.2452643216,-9.991230965,1.004985452
9.332106137,0.2679961324,-10.15992451,1.163509965
9.337661137,0.342173636,-10.31964588,1.272981644
9.343216137,0.4372883439,-10.47817039,1.299900889
9.348771137,0.5174478889,-10.6109724,1.247258782
9.354326137,0.500099957,-10.70130062,1.082154036
9.359881137,0.3966103494,-10.71506023,0.8309076428
9.365436137,0.2195414752,-10.65284634,0.4821537733
9.370991137,0.03290131316,-10.57747269,0.1214357466
9.376546137,-0.1184447184,-10.44826031,-0.242273286
9.382101137,-0.313459754,-10.32622623,-0.5724828243
9.387656137,-0.5521438122,-10.16710377,-0.903888762
9.393211137,-0.7190431952,-9.970891953,-1.240080357
9.398766137,-0.8410771489,-9.753743172,-1.536790371
9.404321137,-0.9571290612,-9.547362328,-1.850250125
9.409876137,-1.039681435,-9.329017639,-2.199003935
9.415431137,-0.9996016622,-9.137591362,-2.401197433
9.420986137,-0.9828519225,-8.985049248,-2.574079037
9.426541137,-1.040877819,-8.851051331,-2.774477959
9.432096137,-1.045065284,-8.794819832,-2.955136061
9.437651137,-1.030110121,-8.772686005,-3.07836628
9.443206137,-1.009172916,-8.827720642,-3.145365477
9.448761137,-1.025922656,-8.933005333,-3.255435228
9.454316137,-1.050449133,-9.023932457,-3.333800077
9.459871137,-1.069591761,-9.122636795,-3.356531858
9.465426137,-1.124626637,-9.258428574,-3.31525588
9.470981137,-1.133599758,-9.425328255,-3.236890793
9.476536137,-1.10010016,-9.610772133,-3.132204771
9.482091137,-1.028913736,-9.777072906,-2.990430117
9.487646137,-1.012163997,-9.920642853,-2.849851847
9.493201137,-0.9924231768,-10.10788059,-2.707478762
9.498756137,-0.9714859724,-10.34477043,-2.522035122
9.504311137,-0.9475577474,-10.55773163,-2.295913219
9.509866137,-0.9098708034,-10.66600704,-2.040479422
9.515421137,-0.9068797827,-10.67856884,-1.709073544
9.520976137,-0.9445667267,-10.59661484,-1.332203984
9.526531137,-1.022333503,-10.41894817,-0.9284151793
