"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.748046300E-2,-2.559449971E-1,3.145863414E-1,-5.008947477E-2
3.303546300E-2,-3.153499067E-1,3.096995652E-1,-5.405998230E-2
3.859046300E-2,-3.523061574E-1,2.976353168E-1,-7.116370648E-2
4.414546300E-2,-3.648285270E-1,2.757975459E-1,-1.009425074E-1
4.970046300E-2,-3.437542915E-1,2.484621257E-1,-1.461452097E-1
5.525546300E-2,-2.930539846E-1,2.298312783E-1,-1.980672181E-1
6.081046300E-2,-2.244863659E-1,2.246390730E-1,-2.484621257E-1
6.636546300E-2,-1.519482583E-1,2.261662036E-1,-2.921377122E-1
7.192046300E-2,-8.597674966E-2,2.278460264E-1,-3.225273490E-1
7.747546300E-2,-3.252761811E-2,2.176143378E-1,-3.342861533E-1
8.303046300E-2,4.886778072E-3,1.931804419E-1,-3.313846290E-1
8.858546300E-2,2.886253223E-2,1.672194302E-1,-3.188622594E-1
9.414046300E-2,3.726168349E-2,1.461452097E-1,-3.049654961E-1
9.969546300E-2,2.794626169E-2,1.368297935E-1,-2.883199155E-1
1.052504630E-1,4.886778072E-3,1.348445266E-1,-2.698417902E-1
1.108054630E-1,-2.779355086E-2,1.288887709E-1,-2.480039895E-1
1.163604630E-1,-6.062658876E-2,1.137702987E-1,-2.250972092E-1
1.219154630E-1,-8.628217876E-2,9.101624042E-2,-2.018850148E-1
1.274704630E-1,-9.788827598E-2,6.169557199E-2,-1.768402755E-1
1.330254630E-1,-8.643488586E-2,2.825168520E-2,-1.516428292E-1
1.385804630E-1,-5.680879578E-2,-3.054236295E-3,-1.336228400E-1
1.441354630E-1,-1.801999472E-2,-3.634541109E-2,-1.256818175E-1
1.496904630E-1,1.771457121E-2,-6.536065787E-2,-1.235438585E-1
1.552454630E-1,4.596625641E-2,-9.193251282E-2,-1.238492802E-1
1.608004630E-1,6.306997687E-2,-1.151447073E-1,-1.236965731E-1
1.663554630E-1,7.177454978E-2,-1.404948682E-1,-1.194206402E-1
1.719104630E-1,7.498150319E-2,-1.553079188E-1,-1.102579311E-1
1.774654630E-1,7.543963939E-2,-1.638597846E-1,-9.681928903E-2
1.830204630E-1,7.742489129E-2,-1.672194302E-1,-8.444963396E-2
1.885754630E-1,8.139539510E-2,-1.644706279E-1,-7.223268598E-2
1.941304630E-1,8.292251825E-2,-1.560714692E-1,-6.200099736E-2
1.996854630E-1,7.925742865E-2,-1.412584335E-1,-5.451811850E-2
2.052404630E-1,7.085828483E-2,-1.264453828E-1,-4.642439261E-2
2.107954630E-1,5.925218388E-2,-1.116323397E-1,-3.695625812E-2
2.163504630E-1,4.627167806E-2,-9.987352788E-2,-2.641914412E-2
2.219054630E-1,3.558185324E-2,-9.437590092E-2,-1.756185852E-2
2.274604630E-1,2.550287358E-2,-9.941539168E-2,-1.588202827E-2
2.330154630E-1,1.588202827E-2,-1.114796251E-1,-2.397575416E-2
2.385704630E-1,7.941014133E-3,-1.276670843E-1,-3.833066672E-2
2.441254630E-1,-1.527118147E-4,-1.421747059E-1,-5.268557742E-2
2.496804630E-1,-5.497625098E-3,-1.565296054E-1,-6.352811307E-2
2.552354630E-1,-4.581354558E-3,-1.743968874E-1,-6.810946763E-2
2.607904630E-1,-3.054236295E-3,-1.983726472E-1,-7.070557028E-2
