"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.034580150E-1,-1.097500038E1,5.137500286E0,-3.804999924E1
1.135329630E-1,-1.126249981E1,5.137500286E0,-3.852500153E1
1.236016080E-1,-1.216250038E1,5.450000286E0,-3.852500153E1
1.336689000E-1,-1.201249981E1,6.037499905E0,-3.867499924E1
1.437422850E-1,-1.156250000E1,5.737500191E0,-3.850000000E1
1.538144210E-1,-1.127500057E1,5.437500000E0,-3.867499924E1
1.638861920E-1,-1.127500057E1,5.737500191E0,-3.850000000E1
1.739597330E-1,-1.142500019E1,5.437500000E0,-3.820000076E1
1.840296810E-1,-1.216250038E1,5.437500000E0,-3.760000229E1
1.941034310E-1,-1.231250000E1,5.587500095E0,-3.758750153E1
2.041755670E-1,-1.186250019E1,5.150000095E0,-3.852500153E1
2.142492650E-1,-1.141250038E1,4.550000191E0,-3.807500076E1
2.243278580E-1,-1.111250019E1,4.400000095E0,-3.760000229E1
2.344001500E-1,-1.198750019E1,4.400000095E0,-3.762500000E1
2.444711920E-1,-1.243750000E1,4.700000286E0,-3.807500076E1
2.545441080E-1,-1.216250038E1,5.587500095E0,-3.837500000E1
2.646120250E-1,-1.246250057E1,6.037499905E0,-3.867499924E1
2.746838480E-1,-1.186250019E1,6.037499905E0,-3.835000229E1
2.847584830E-1,-1.171250057E1,5.437500000E0,-3.804999924E1
2.948304630E-1,-1.186250019E1,5.287499905E0,-3.790000153E1
3.049041600E-1,-1.201249981E1,5.287499905E0,-3.760000229E1
3.149794210E-1,-1.273750019E1,5.737500191E0,-3.743750000E1
3.250521810E-1,-1.348750019E1,6.050000191E0,-3.760000229E1
3.351234310E-1,-1.362500000E1,5.750000000E0,-3.775000000E1
3.451967130E-1,-1.348750019E1,6.050000191E0,-3.760000229E1
3.552659830E-1,-1.465000057E1,6.050000191E0,-3.775000000E1
3.653388480E-1,-1.525000000E1,6.075000286E0,-3.729999924E1
3.754158270E-1,-1.583750057E1,6.675000191E0,-3.713750076E1
3.854881190E-1,-1.598750019E1,6.675000191E0,-3.713750076E1
3.955623900E-1,-1.525000000E1,6.950000286E0,-3.698749924E1
4.056378060E-1,-1.512500000E1,7.237500191E0,-3.604999924E1
4.157087960E-1,-1.497500038E1,8.112500191E0,-3.571250153E1
4.257833790E-1,-1.426249981E1,9.449999809E0,-3.567499924E1
4.358540560E-1,-1.352500057E1,1.016250038E1,-3.535000229E1
4.459281190E-1,-1.355000019E1,1.103750038E1,-3.533750153E1
4.560047850E-1,-1.355000019E1,1.193750000E1,-3.516250229E1
4.660781190E-1,-1.223750019E1,1.280000019E1,-3.512500000E1
4.761508790E-1,-1.210000038E1,1.338749981E1,-3.433750153E1
4.862245770E-1,-1.194999981E1,1.353750038E1,-3.466250229E1
4.963013480E-1,-1.165000057E1,1.308750057E1,-3.466250229E1
5.063755670E-1,-1.225000000E1,1.308750057E1,-3.436249924E1
5.164494730E-1,-1.311250019E1,1.267500019E1,-3.515000153E1
5.265228580E-1,-1.369999981E1,1.208750057E1,-3.516250229E1
5.365953060E-1,-1.487500000E1,1.166250038E1,-3.486249924E1
5.466688480E-1,-1.531250000E1,1.136250019E1,-3.488750076E1
5.567394210E-1,-1.573750019E1,1.122500038E1,-3.458750153E1
5.668130150E-1,-1.603750038E1,1.092500019E1,-3.428750229E1
5.768881710E-1,-1.618750000E1,1.122500038E1,-3.473749924E1
5.869593170E-1,-1.677499962E1,1.152500057E1,-3.488750076E1
5.970335880E-1,-1.633749962E1,1.181250000E1,-3.395000076E1
6.071090040E-1,-1.603750038E1,1.166250038E1,-3.350000000E1
6.171836920E-1,-1.591250038E1,1.211250019E1,-3.317499924E1
6.272565040E-1,-1.621249962E1,1.268750000E1,-3.331250000E1
6.373336400E-1,-1.663750076E1,1.256250000E1,-3.332500076E1
6.474092650E-1,-1.666250038E1,1.343750000E1,-3.298749924E1
6.574813480E-1,-1.741250038E1,1.477500057E1,-3.220000076E1
6.675559830E-1,-1.801250076E1,1.522500038E1,-3.126250076E1
6.776291600E-1,-1.873750114E1,1.567500019E1,-3.096249962E1
6.877011920E-1,-1.918750000E1,1.582499981E1,-3.050000000E1
6.977721290E-1,-1.918750000E1,1.552500057E1,-2.957500076E1
7.078435350E-1,-2.022500038E1,1.567500019E1,-2.942500114E1
7.179132750E-1,-2.110000038E1,1.642500114E1,-2.911250114E1
7.279865560E-1,-2.082500076E1,1.730000114E1,-2.862500000E1
7.380585350E-1,-2.110000038E1,1.730000114E1,-2.878750038E1
7.481328060E-1,-2.052499962E1,1.760000038E1,-2.908749962E1
7.582069730E-1,-1.993750000E1,1.846249962E1,-2.952499962E1
7.682770770E-1,-1.978750038E1,1.803750038E1,-2.922500038E1
7.783482750E-1,-1.921249962E1,1.713750076E1,-2.862500000E1
7.884225980E-1,-1.963750076E1,1.714999962E1,-2.908749962E1
7.984948900E-1,-1.951250076E1,1.758749962E1,-2.892500114E1
8.085651500E-1,-1.966250038E1,1.803750038E1,-2.860000038E1
8.186380670E-1,-2.008749962E1,1.846249962E1,-2.828750038E1
8.287115560E-1,-1.981250000E1,1.816250038E1,-2.798750114E1
8.387854630E-1,-2.008749962E1,1.773750114E1,-2.753750038E1
8.488584830E-1,-2.098750114E1,1.863750076E1,-2.706250000E1
8.589306710E-1,-2.187500000E1,1.835000038E1,-2.706250000E1
8.690027020E-1,-2.200000000E1,1.820000076E1,-2.708749962E1
8.790739520E-1,-2.217500114E1,1.923750114E1,-2.706250000E1
8.891452540E-1,-2.187500000E1,1.863750076E1,-2.675000000E1
8.992203580E-1,-2.127499962E1,1.775000000E1,-2.708749962E1
9.092971290E-1,-2.214999962E1,1.775000000E1,-2.661250114E1
9.193681190E-1,-2.303750038E1,1.864999962E1,-2.600000000E1
9.294425980E-1,-2.305000114E1,1.880000114E1,-2.630000114E1
9.395184310E-1,-2.333749962E1,1.864999962E1,-2.708749962E1
9.495891080E-1,-2.348750114E1,1.953750038E1,-2.721249962E1
9.596605150E-1,-2.305000114E1,1.895000076E1,-2.660000038E1
9.697329100E-1,-2.289999962E1,1.864999962E1,-2.614999962E1
9.798028580E-1,-2.289999962E1,1.938750076E1,-2.627499962E1
9.898771290E-1,-2.247500038E1,1.981250000E1,-2.612500000E1
9.999482750E-1,-2.202499962E1,1.966250038E1,-2.612500000E1
1.010021452E0,-2.086250114E1,2.010000038E1,-2.656250000E1
1.020096192E0,-2.042500114E1,2.112500000E1,-2.701250076E1
1.030170671E0,-1.970000076E1,2.111250114E1,-2.731250000E1
1.040242702E0,-1.836250114E1,2.123750114E1,-2.761250114E1
1.050315306E0,-1.720000076E1,2.152499962E1,-2.773750114E1
1.060386713E0,-1.573750019E1,2.180000114E1,-2.787500000E1
1.070462598E0,-1.471250057E1,2.195000076E1,-2.832500076E1
1.080538379E0,-1.382499981E1,2.208749962E1,-2.908749962E1
1.090614317E0,-1.294999981E1,2.206250000E1,-2.862500000E1
1.100683692E0,-1.148750019E1,2.250000000E1,-2.843750000E1
1.110753952E0,-1.044999981E1,2.292500114E1,-2.920000076E1
1.120828483E0,-9.287500381E0,2.291250038E1,-2.918750000E1
1.130900775E0,-8.112500191E0,2.348750114E1,-2.931250000E1
1.140977754E0,-7.375000000E0,2.377499962E1,-3.008749962E1
1.151052181E0,-6.349999905E0,2.317500114E1,-3.055000114E1
1.161129265E0,-6.050000191E0,2.287500000E1,-3.070000076E1
1.171205983E0,-5.162499905E0,2.360000038E1,-3.068750000E1
1.181280515E0,-3.850000143E0,2.343750000E1,-3.068750000E1
1.191350515E0,-3.400000095E0,2.270000076E1,-3.100000000E1
1.201425098E0,-2.225000143E0,2.238750076E1,-3.130000114E1
1.211501556E0,-1.487500072E0,2.238750076E1,-3.083749962E1
1.221576140E0,-1.637500048E0,2.238750076E1,-3.083749962E1
1.231646869E0,-1.337499976E0,2.193750000E1,-3.098750114E1
1.241720827E0,-9.125000238E-1,2.223750114E1,-3.098750114E1
1.251797546E0,-9.125000238E-1,2.281250000E1,-3.158749962E1
1.261873171E0,-2.500000037E-2,2.281250000E1,-3.143750000E1
1.271948067E0,1.287500024E0,2.295000076E1,-3.064999962E1
1.282020931E0,2.312500000E0,2.322500038E1,-3.047500038E1
1.292094942E0,3.924999952E0,2.231250000E1,-3.016250038E1
1.302167494E0,4.662499905E0,2.231250000E1,-2.983749962E1
1.312243379E0,4.662499905E0,2.318750000E1,-3.028750038E1
1.322320410E0,5.087500095E0,2.333749962E1,-3.013750076E1
1.332394785E0,6.425000191E0,2.287500000E1,-2.950000000E1
1.342472650E0,6.700000286E0,2.302499962E1,-2.903750038E1
1.352545515E0,6.849999905E0,2.389999962E1,-2.839999962E1
1.362620358E0,7.862500191E0,2.448750114E1,-2.822500038E1
1.372692650E0,9.050000191E0,2.475000000E1,-2.806250000E1
1.382766504E0,9.475000381E0,2.475000000E1,-2.773750114E1
1.392839942E0,1.036250019E1,2.445000076E1,-2.788750076E1
1.402913900E0,1.227500057E1,2.412500000E1,-2.727499962E1
1.412989421E0,1.313749981E1,2.471249962E1,-2.631250000E1
1.423062077E0,1.313749981E1,2.528750038E1,-2.614999962E1
1.433134265E0,1.356250000E1,2.528750038E1,-2.570000076E1
1.443205150E0,1.444999981E1,2.527499962E1,-2.552499962E1
1.453275463E0,1.591250038E1,2.555000114E1,-2.473750114E1
1.463347806E0,1.678750038E1,2.510000038E1,-2.395000076E1
1.473420619E0,1.782500076E1,2.478750038E1,-2.286250114E1
1.483495358E0,1.913750076E1,2.536250114E1,-2.222500038E1
1.493569890E0,1.943750000E1,2.580000114E1,-2.267500114E1
1.503642338E0,1.986250114E1,2.595000076E1,-2.221249962E1
1.513717494E0,2.162500000E1,2.547500038E1,-2.143750000E1
1.523791817E0,2.222500038E1,2.472500038E1,-2.097500038E1
1.533864525E0,2.222500038E1,2.370000076E1,-2.022500038E1
1.543937598E0,2.383749962E1,2.307500076E1,-1.960000038E1
1.554010150E0,2.532500076E1,2.306250000E1,-1.928750038E1
1.564082025E0,2.530000114E1,2.366250038E1,-1.958749962E1
1.574155723E0,2.545000076E1,2.381250000E1,-1.941250038E1
1.584227233E0,2.588750076E1,2.408749962E1,-1.786250114E1
1.594300463E0,2.661250114E1,2.422500038E1,-1.692500114E1
1.604371921E0,2.866250038E1,2.405000114E1,-1.583750057E1
1.614443640E0,2.968750000E1,2.448750114E1,-1.426249981E1
1.624516660E0,2.982500076E1,2.461250114E1,-1.317500019E1
1.634584994E0,2.967500114E1,2.521249962E1,-1.269999981E1
1.644657494E0,2.964999962E1,2.652499962E1,-1.268750000E1
1.654730306E0,3.023750114E1,2.622500038E1,-1.144999981E1
1.664798796E0,3.068750000E1,2.547500038E1,-1.052500057E1
1.674871192E0,3.068750000E1,2.550000000E1,-1.082499981E1
1.684943327E0,2.995000076E1,2.637500000E1,-1.036250019E1
1.695017494E0,3.008749962E1,2.652499962E1,-1.051249981E1
1.705090983E0,2.950000000E1,2.652499962E1,-1.082499981E1
1.715164473E0,2.832500076E1,2.727499962E1,-1.051249981E1
1.725238067E0,2.817500114E1,2.700000000E1,-1.082499981E1
1.735311400E0,2.862500000E1,2.697500038E1,-1.112500000E1
1.745384577E0,2.889999962E1,2.757500076E1,-1.127500057E1
1.755455515E0,2.845000076E1,2.831250000E1,-1.033750057E1
1.765522650E0,2.800000000E1,2.906250000E1,-1.002500057E1
1.775594004E0,2.682500076E1,2.921249962E1,-9.100000381E0
1.785667233E0,2.608749962E1,2.996249962E1,-8.162500381E0
1.795741921E0,2.637500000E1,3.112500000E1,-7.974999905E0
1.805815046E0,2.622500038E1,3.098750114E1,-7.675000191E0
1.815888640E0,2.488750076E1,3.083749962E1,-7.075000286E0
1.825960671E0,2.488750076E1,3.083749962E1,-6.912499905E0
1.836031035E0,2.592500114E1,3.098750114E1,-7.375000000E0
1.846101140E0,2.637500000E1,3.023750114E1,-7.525000095E0
1.856171504E0,2.623750114E1,2.966250038E1,-7.862500191E0
1.866245879E0,2.637500000E1,2.981250000E1,-8.162500381E0
1.876319004E0,2.682500076E1,2.993750000E1,-7.849999905E0
1.886392338E0,2.652499962E1,3.023750114E1,-8.462500572E0
1.896466504E0,2.578750038E1,2.951250076E1,-9.100000381E0
1.906538640E0,2.593750000E1,2.966250038E1,-8.487500191E0
1.916612129E0,2.608749962E1,3.026250076E1,-8.762499809E0
1.926684785E0,2.551250076E1,3.011250114E1,-9.400000572E0
1.936760775E0,2.551250076E1,2.996249962E1,-9.875000000E0
1.946837546E0,2.623750114E1,2.922500038E1,-1.018750000E1
1.956908327E0,2.698750114E1,2.817500114E1,-1.036250019E1
1.966981192E0,2.743750000E1,2.787500000E1,-1.036250019E1
1.977057858E0,2.743750000E1,2.730000114E1,-1.144999981E1
1.987131556E0,2.731250000E1,2.714999962E1,-1.253750038E1
1.997207598E0,2.657500076E1,2.731250000E1,-1.347500038E1
2.007279056E0,2.627499962E1,2.673750114E1,-1.456250000E1
2.017354681E0,2.717500114E1,2.656250000E1,-1.471250057E1
2.027429421E0,2.761250114E1,2.598750114E1,-1.502500057E1
2.037502963E0,2.717500114E1,2.598750114E1,-1.519999981E1
2.047579733E0,2.702499962E1,2.583749962E1,-1.411250019E1
2.057655358E0,2.803750038E1,2.596249962E1,-1.285000038E1
2.067730879E0,2.892500114E1,2.670000076E1,-1.144999981E1
2.077806088E0,2.889999962E1,2.682500076E1,-9.275000572E0
2.087880306E0,2.889999962E1,2.682500076E1,-8.500000000E0
2.097958900E0,2.963750076E1,2.756250000E1,-7.862500191E0
2.108037702E0,3.005000114E1,2.857500076E1,-6.462500095E0
2.118110046E0,3.062500000E1,2.872500038E1,-5.050000191E0
2.128182650E0,3.050000000E1,2.857500076E1,-4.437500000E0
2.138257806E0,3.035000038E1,2.857500076E1,-3.812500000E0
2.148330306E0,3.106250000E1,2.855000114E1,-2.575000048E0
2.158404108E0,3.208750153E1,2.795000076E1,-1.637500048E0
2.168480410E0,3.238750076E1,2.764999962E1,5.000000075E-2
2.178559890E0,3.163750076E1,2.780000114E1,1.287500024E0
2.188630306E0,3.237500000E1,2.853750038E1,2.075000048E0
2.198705931E0,3.222500229E1,2.868750000E1,2.687500000E0
2.208778744E0,3.252500153E1,2.838750076E1,3.012500048E0
2.218849056E0,3.310000229E1,2.836250114E1,3.924999952E0
2.228924056E0,3.310000229E1,2.806250000E1,4.700000286E0
2.238998848E0,3.325000000E1,2.778750038E1,5.012500286E0
2.249073119E0,3.310000229E1,2.791250038E1,5.937500000E0
2.259145671E0,3.235000229E1,2.896249962E1,5.487500191E0
2.269218952E0,3.220000076E1,2.911250114E1,5.487500191E0
2.279291035E0,3.189999962E1,2.896249962E1,6.875000000E0
2.289363640E0,3.175000000E1,2.896249962E1,7.812500000E0
2.299437233E0,3.189999962E1,2.866250038E1,7.787499905E0
2.309514942E0,3.132500076E1,2.881250000E1,7.937500000E0
2.319588223E0,3.114999962E1,2.985000038E1,8.750000000E0
