Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
8.405376241,-28.45000076,26.97500038,28.25
8.41545572,-28.30000114,26.82500076,27.16250038
8.425523897,-27.72500038,26.67500114,27.625
8.435596241,-27.875,26.67500114,28.39999962
8.44566572,-27.42500114,25.77499962,27.92500114
8.455738428,-27.125,25.47500038,27.77499962
8.465814105,-27.57500076,26.07500076,27.47500038
8.475888428,-27.85000038,26.07500076,27.77499962
8.485963897,-28.30000114,26.10000038,27.92500114
8.496042074,-28.4375,25.95000076,27.61250114
8.506116345,-28.45000076,25.80000114,28.375
8.51618947,-28.60000038,26.375,28.39999962
8.526263897,-28.30000114,26.82500076,28.25
8.536337334,-27.72500038,26.22500038,28.55000114
8.546408689,-27.72500038,26.67500114,28.71249962
8.556483689,-27.875,26.67500114,28.86250114
8.56655723,-28.30000114,25.95000076,28.55000114
8.576632074,-28.58749962,25.95000076,28.55000114
8.586708845,-28.30000114,26.82500076,29.01250076
8.596787803,-27.72500038,26.22500038,29.01250076
8.606865355,-27.57500076,26.07500076,28.86250114
8.61694447,-27.42500114,26.375,28.86250114
8.627018272,-27.57500076,25.77499962,28.85000038
8.637091137,-28.0,26.375,29.01250076
8.647167387,-27.57500076,26.66250038,29.1875
8.65723973,-27.27499962,26.22500038,29.1875
8.667311449,-27.42500114,26.22500038,29.33749962
8.677384262,-27.27499962,26.22500038,29.95000076
8.687459105,-26.98750114,26.66250038,29.95000076
8.697532595,-27.13750076,26.51250076,30.42500114
8.707603741,-27.13750076,26.36250114,31.33749962
8.717676553,-26.83749962,25.77499962,30.875
8.727747282,-27.42500114,26.36250114,30.57500076
8.737819782,-27.875,26.8125,30.27499962
8.74789348,-26.98750114,26.07500076,30.25
8.757969157,-26.98750114,25.92500114,31.02499962
8.768039834,-27.42500114,25.625,30.39999962
8.778113168,-27.57500076,25.47500038,30.39999962
8.788186709,-27.27499962,25.47500038,31.02499962
8.798257751,-26.98750114,25.625,30.55000114
8.808327439,-26.83749962,25.625,30.55000114
8.818399834,-26.83749962,26.0625,30.25
8.82846822,-27.28750038,26.36250114,30.57500076
8.838539834,-27.57500076,26.51250076,30.875
8.84861473,-27.875,26.52499962,30.10000038
8.858686189,-28.17500114,26.82500076,29.80000114
8.868755512,-27.72500038,26.375,30.25
8.878826501,-27.27499962,26.07500076,30.39999962
8.888901345,-27.72500038,26.07500076,29.48750114
8.89897447,-27.85000038,25.77499962,29.16250038
8.909046293,-27.55000114,25.20000076,29.3125
8.91911973,-27.70000076,25.20000076,29.61250114
8.929193324,-27.27499962,25.625,30.25
8.939267126,-27.57500076,25.77499962,29.9375
8.949342855,-27.72500038,26.07500076,30.10000038
8.95941723,-27.875,26.52499962,29.95000076
8.969492178,-28.02499962,26.67500114,29.1875
8.979566657,-28.02499962,26.52499962,29.16250038
8.98964223,-27.85000038,25.64999962,29.61250114
8.999719887,-27.70000076,25.5,29.46249962
9.009797387,-27.72500038,25.77499962,29.9375
9.019878324,-28.0,25.64999962,29.78750038
9.029949887,-28.30000114,25.35000038,29.0
9.040025928,-28.14999962,25.35000038,29.30000114
9.050104366,-28.30000114,25.64999962,28.70000076
9.060178584,-28.45000076,25.95000076,28.07500076
9.070248428,-28.45000076,26.375,28.39999962
9.080317022,-28.14999962,26.97500038,28.10000038
9.090389314,-28.60000038,26.52499962,27.3125
9.100459105,-29.1875,26.55000114,26.98750114
9.110531241,-28.89999962,27.125,27.47500038
9.120604626,-28.45000076,26.97500038,27.01250076
9.130676501,-28.73750114,26.97500038,26.38750076
9.140749939,-29.33749962,27.125,26.86250114
9.150821189,-29.61250114,27.0,26.53750038
9.160894262,-29.1875,26.85000038,26.53750038
9.170966657,-28.73750114,27.125,26.23750114
9.181040095,-28.88750076,27.42500114,25.47500038
9.191113272,-28.88750076,27.125,25.92500114
9.20118697,-28.45000076,27.42500114,26.23750114
9.211263012,-27.57500076,27.71249962,26.875
9.221337699,-27.72500038,27.26250076,27.32500076
9.231413272,-28.02499962,27.26250076,27.32500076
9.241486709,-28.45000076,27.27499962,27.17500114
9.251561345,-28.60000038,27.27499962,27.625
9.261635147,-28.45000076,26.97500038,27.95000076
9.271710824,-29.03750038,26.25,28.07500076
9.281785095,-28.88750076,26.10000038,28.22500038
9.29185822,-29.03750038,25.95000076,27.76250076
9.301926918,-29.33749962,26.10000038,27.76250076
9.312000407,-29.61250114,25.66250038,28.0625
9.322073949,-30.35000038,25.96249962,28.0625
9.332141709,-30.95000076,25.96249962,28.21249962
9.342214782,-30.35000038,25.38750076,28.03750038
9.352288012,-29.89999962,25.08749962,27.42500114
9.362359209,-30.625,24.64999962,27.57500076
9.372428689,-30.77499962,24.9375,27.88750076
9.382498116,-30.625,24.64999962,27.72500038
9.392568845,-30.77499962,24.05000114,28.02499962
9.402640928,-30.77499962,23.77499962,28.02499962
9.412714209,-30.77499962,24.05000114,28.02499962
9.422784418,-30.32500076,24.20000076,28.02499962
9.432856762,-29.89999962,24.05000114,27.72500038
9.442929887,-30.32500076,23.89999962,28.02499962
9.453007647,-30.20000076,24.05000114,29.11250114
9.463082647,-30.47500038,23.89999962,29.11250114
9.473153064,-30.625,23.75,29.08749962
9.483225095,-30.32500076,24.05000114,28.78750038
9.49329322,-30.32500076,23.89999962,28.32500076
9.503363272,-30.625,23.60000038,28.625
9.513434678,-30.625,23.60000038,28.9375
9.523506553,-31.0625,23.77499962,28.47500038
9.533580668,-30.77499962,23.75,28.17500114
9.543654366,-30.91250038,23.32500076,27.85000038
9.553727178,-31.21249962,23.03750038,27.83749962
9.56380072,-30.76250076,23.17500114,27.6875
9.573874678,-30.76250076,22.73750114,27.38750076
9.583944262,-30.91250038,23.02499962,27.23750114
9.594014418,-30.61250114,23.47500038,27.55000114
9.604087282,-30.32500076,24.05000114,27.39999962
9.614157751,-30.05000114,24.63750076,27.27499962
9.624228116,-29.89999962,24.48750114,27.27499962
9.63429848,-29.45000076,24.48750114,26.95000076
9.644367074,-29.01250076,24.33749962,26.5
9.654439262,-28.4375,24.76250076,26.20000076
9.664508741,-27.70000076,25.35000038,25.13750076
9.674579991,-27.10000038,25.80000114,24.98750114
9.684648168,-26.67500114,26.22500038,25.0
9.694719887,-26.52499962,26.52499962,24.55000114
9.704789366,-25.78750038,26.66250038,23.9375
9.714864209,-24.47500038,27.08749962,23.03750038
9.724941397,-24.02499962,27.82500076,21.35000038
9.73501848,-24.32500076,28.42500114,20.89999962
9.745091137,-24.35000038,28.85000038,21.21249962
9.755167178,-23.16250038,28.98750114,20.76250076
9.765241032,-21.55000114,29.86250114,20.01250076
9.775316449,-20.53750038,30.30000114,20.1875
9.785387803,-19.8125,30.42500114,20.05000114
9.795460303,-19.22500038,31.16250038,19.89999962
9.805534678,-18.77499962,31.4375,19.60000038
9.815603897,-18.05000114,31.58749962,19.0
9.825672907,-17.61250114,31.58749962,18.70000076
9.835741501,-16.4375,31.57500076,18.85000038
9.845808324,-15.40000057,31.85000038,18.72500038
9.855879991,-15.42500019,31.85000038,19.48750114
9.865950303,-14.83750057,32.28750229,20.27499962
9.876023168,-14.11250019,32.86249924,20.14999962
9.886094418,-13.375,32.71250153,19.85000038
9.896167959,-12.65000057,33.0,19.55000114
9.906234887,-12.5,33.15000153,19.70000076
9.916302387,-11.3125,32.67499924,20.46249962
9.926373428,-10.0,32.66250229,21.10000038
9.936445303,-9.125,33.08750153,21.125
9.946514262,-8.237500191,33.08750153,20.97500038
9.956587282,-7.362500191,33.52500153,20.52499962
9.966658741,-7.375,33.95000076,21.16250038
9.976730459,-6.625,33.65000153,21.77499962
9.986797803,-5.162499905,33.63750076,21.47500038
9.996867178,-4.137500286,33.48749924,21.95000076
10.00693452,-3.549999952,33.76250076,21.96249962
10.01700603,-2.375,33.60000229,22.11250114
10.02707739,-1.9375,33.75,22.13750076
10.03714806,-1.362500072,34.17499924,21.83749962
10.04721681,-0.3250000179,34.17499924,21.83749962
10.05728832,0.5500000119,33.57500076,21.83749962
10.06735666,0.5500000119,33.42499924,21.6875
10.07742489,0.6999999881,32.67499924,21.66250038
10.08749426,1.600000024,32.07500076,21.51250076
10.09756447,2.037500143,32.8125,21.36250114
10.10763171,1.887500048,32.67499924,21.36250114
10.1177016,2.1875,31.77499962,21.66250038
10.1277727,2.337500095,31.625,21.8125
10.13784218,2.637500048,31.20000076,21.8125
10.14791233,2.637500048,31.20000076,22.11250114
10.15798223,2.200000048,30.60000038,23.1875
10.16805223,2.637500048,30.14999962,23.1875
10.17812239,2.637500048,30.14999962,22.71249962
10.18818879,2.350000143,29.5625,23.01250076
