"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.606583352E-3,-1.967358856E0,5.695356445E0,5.630690918E0,8.246954961E0
1.264958334E-2,-2.738405457E0,5.971981201E0,5.095553741E0,8.314330511E0
2.269258333E-2,-2.519859924E0,6.014941864E0,5.157973938E0,8.314680680E0
3.273558334E-2,-1.963466949E0,6.173462219E0,5.757028198E0,8.666614789E0
4.277858333E-2,-1.932930450E0,6.274951172E0,6.689738617E0,9.373571096E0
5.282158335E-2,-2.055525513E0,6.324049072E0,7.633526001E0,1.012370984E1
6.286458333E-2,-2.082319794E0,6.264772339E0,8.197403412E0,1.052524826E1
7.290758335E-2,-2.052082672E0,6.145320740E0,8.287665710E0,1.051957286E1
8.295058334E-2,-1.994003448E0,6.102210388E0,8.111182709E0,1.034428858E1
9.299358333E-2,-1.854493561E0,6.041287079E0,7.672894135E0,9.940301823E0
1.030365833E-1,-1.760339355E0,6.009553070E0,7.256759491E0,9.585096820E0
1.130795833E-1,-1.763782196E0,5.985303497E0,7.193740540E0,9.522850862E0
1.231225833E-1,-2.056872711E0,6.075565796E0,7.497009888E0,9.866528384E0
1.331655833E-1,-2.289039917E0,6.214626617E0,8.058941345E0,1.043109886E1
1.432085834E-1,-2.234104156E0,6.344706116E0,8.452323303E0,1.080223525E1
1.532515833E-1,-1.936972046E0,6.215674438E0,8.518485718E0,1.072152360E1
1.632945833E-1,-1.566492462E0,6.215075684E0,8.633296967E0,1.075243604E1
1.733375833E-1,-1.401984558E0,6.305936737E0,9.009165344E0,1.108582243E1
1.833805833E-1,-1.118623810E0,6.373895416E0,9.501042480E0,1.149555002E1
1.934235833E-1,-7.587721252E-1,6.508764954E0,1.010593460E1,1.204448714E1
2.034665833E-1,-5.873785400E-1,6.530020752E0,1.034169434E1,1.224486939E1
2.135095834E-1,-4.031117249E-1,6.233038330E0,1.003737717E1,1.182210668E1
